commodity_key,year,quarter,value,n_months,source
acrylic-acid-cn,2023,1,99.8567,3,mockup
acrylic-acid-cn,2023,2,99.4233,3,mockup
acrylic-acid-cn,2023,3,98.9867,3,mockup
acrylic-acid-cn,2023,4,98.5533,3,mockup
acrylic-acid-cn,2024,1,98.1167,3,mockup
acrylic-acid-cn,2024,2,97.6833,3,mockup
acrylic-acid-cn,2024,3,97.2467,3,mockup
acrylic-acid-cn,2024,4,96.8133,3,mockup
acrylic-acid-cn,2025,1,86.1333,3,mockup
acrylic-acid-cn,2025,2,70.3333,3,mockup
acrylic-acid-cn,2025,3,63.51,3,mockup
acrylic-acid-cn,2025,4,61.4,3,mockup
acrylic-acid-cn,2026,1,60.0433,3,mockup
acrylic-acid-cn,2026,2,59.0133,3,mockup
acrylic-acid-eu,2023,1,99.75,3,mockup
acrylic-acid-eu,2023,2,99.0067,3,mockup
acrylic-acid-eu,2023,3,98.26,3,mockup
acrylic-acid-eu,2023,4,97.5167,3,mockup
acrylic-acid-eu,2024,1,96.77,3,mockup
acrylic-acid-eu,2024,2,96.0233,3,mockup
acrylic-acid-eu,2024,3,95.28,3,mockup
acrylic-acid-eu,2024,4,94.5333,3,mockup
acrylic-acid-eu,2025,1,88.57,3,mockup
acrylic-acid-eu,2025,2,80.0,3,mockup
acrylic-acid-eu,2025,3,75.6567,3,mockup
acrylic-acid-eu,2025,4,72.97,3,mockup
acrylic-acid-eu,2026,1,69.9033,3,mockup
acrylic-acid-eu,2026,2,66.76,3,mockup
acrylic-acid-na,2023,1,99.8767,3,mockup
acrylic-acid-na,2023,2,99.5033,3,mockup
acrylic-acid-na,2023,3,99.13,3,mockup
acrylic-acid-na,2023,4,98.7567,3,mockup
acrylic-acid-na,2024,1,98.3867,3,mockup
acrylic-acid-na,2024,2,98.0133,3,mockup
acrylic-acid-na,2024,3,97.64,3,mockup
acrylic-acid-na,2024,4,97.2667,3,mockup
acrylic-acid-na,2025,1,90.0567,3,mockup
acrylic-acid-na,2025,2,79.43,3,mockup
acrylic-acid-na,2025,3,74.4767,3,mockup
acrylic-acid-na,2025,4,70.2667,3,mockup
acrylic-acid-na,2026,1,65.68,3,mockup
acrylic-acid-na,2026,2,61.42,3,mockup
acrylonitrile-cn,2023,1,96.6933,3,mockup
acrylonitrile-cn,2023,2,86.7767,3,mockup
acrylonitrile-cn,2023,3,76.86,3,mockup
acrylonitrile-cn,2023,4,66.9433,3,mockup
acrylonitrile-cn,2024,1,68.08,3,mockup
acrylonitrile-cn,2024,2,74.75,3,mockup
acrylonitrile-cn,2024,3,66.8533,3,mockup
acrylonitrile-cn,2024,4,66.2667,3,mockup
acrylonitrile-cn,2025,1,67.93,3,mockup
acrylonitrile-cn,2025,2,60.4,3,mockup
acrylonitrile-cn,2025,3,60.91,3,mockup
acrylonitrile-cn,2025,4,61.01,3,mockup
acrylonitrile-cn,2026,1,59.19,3,mockup
acrylonitrile-cn,2026,2,58.4333,3,mockup
acrylonitrile-eu,2023,1,99.8433,3,mockup
acrylonitrile-eu,2023,2,99.3767,3,mockup
acrylonitrile-eu,2023,3,98.9133,3,mockup
acrylonitrile-eu,2023,4,98.4467,3,mockup
acrylonitrile-eu,2024,1,97.9833,3,mockup
acrylonitrile-eu,2024,2,97.5167,3,mockup
acrylonitrile-eu,2024,3,97.0467,3,mockup
acrylonitrile-eu,2024,4,96.5833,3,mockup
acrylonitrile-eu,2025,1,93.35,3,mockup
acrylonitrile-eu,2025,2,88.73,3,mockup
acrylonitrile-eu,2025,3,84.11,3,mockup
acrylonitrile-eu,2025,4,83.62,3,mockup
acrylonitrile-eu,2026,1,83.4767,3,mockup
acrylonitrile-eu,2026,2,82.4767,3,mockup
acrylonitrile-na,2023,1,99.8033,3,mockup
acrylonitrile-na,2023,2,99.2133,3,mockup
acrylonitrile-na,2023,3,98.6267,3,mockup
acrylonitrile-na,2023,4,98.0367,3,mockup
acrylonitrile-na,2024,1,97.4467,3,mockup
acrylonitrile-na,2024,2,96.8567,3,mockup
acrylonitrile-na,2024,3,96.27,3,mockup
acrylonitrile-na,2024,4,95.68,3,mockup
acrylonitrile-na,2025,1,93.39,3,mockup
acrylonitrile-na,2025,2,90.25,3,mockup
acrylonitrile-na,2025,3,87.11,3,mockup
acrylonitrile-na,2025,4,85.29,3,mockup
acrylonitrile-na,2026,1,84.13,3,mockup
acrylonitrile-na,2026,2,82.9667,3,mockup
aluminum,2023,1,98.3333,3,mockup
aluminum,2023,2,93.3,3,mockup
aluminum,2023,3,90.9667,3,mockup
aluminum,2023,4,92.5,3,mockup
aluminum,2024,1,93.1667,3,mockup
aluminum,2024,2,109.8667,3,mockup
aluminum,2024,3,100.4333,3,mockup
aluminum,2024,4,106.9333,3,mockup
aluminum,2025,1,109.5333,3,mockup
aluminum,2025,2,102.0,3,mockup
aluminum,2025,3,109.1,3,mockup
aluminum,2025,4,117.8667,3,mockup
aluminum,2026,1,133.0333,3,mockup
aluminum,2026,2,140.5,3,mockup
ammonia-eu,2023,1,99.4,3,mockup
ammonia-eu,2023,2,97.6,3,mockup
ammonia-eu,2023,3,95.8,3,mockup
ammonia-eu,2023,4,94.0,3,mockup
ammonia-eu,2024,1,92.2,3,mockup
ammonia-eu,2024,2,90.4,3,mockup
ammonia-eu,2024,3,88.6,3,mockup
ammonia-eu,2024,4,90.6,3,mockup
ammonia-eu,2025,1,94.5,3,mockup
ammonia-eu,2025,2,98.5,3,mockup
ammonia-eu,2025,3,102.4,3,mockup
ammonia-eu,2025,4,105.1667,3,mockup
ammonia-eu,2026,1,105.2667,3,mockup
ammonia-eu,2026,2,104.6,3,mockup
ammonia-in,2023,1,99.6,3,mockup
ammonia-in,2023,2,98.4,3,mockup
ammonia-in,2023,3,97.2,3,mockup
ammonia-in,2023,4,96.0,3,mockup
ammonia-in,2024,1,94.8,3,mockup
ammonia-in,2024,2,93.6,3,mockup
ammonia-in,2024,3,92.4,3,mockup
