family,subfamily,n_formulas,n_combos
,,1,3
Advanced Materials,Aramid and high-performance fibres,1,2
Advanced Materials,Carbon-based fibres,1,4
Advanced Materials,Glass and mineral fibres,2,7
Aroma Chemicals,Benzene-chain aroma chemicals,1,3
Aroma Chemicals,Musk compounds,1,1
Aroma Chemicals,Petrochemical-derived aroma chemicals,2,6
Aroma Chemicals,Terpene-derived aroma chemicals,3,5
Bio-Based Ingredients,Adsorbents,2,8
Bio-Based Ingredients,Animal proteins,1,1
Bio-Based Ingredients,Cellulose products,1,1
Bio-Based Ingredients,Hydrocolloids,3,3
Bio-Based Ingredients,Lignosulfonates,1,4
Bio-Based Ingredients,Natural gums,1,3
Biocides & Antimicrobials,Aldehyde biocides,1,3
Biocides & Antimicrobials,Benzoate preservatives,1,1
Biocides & Antimicrobials,Diverse preservatives,1,2
Biocides & Antimicrobials,Isothiazolinone biocides,2,5
Biocides & Antimicrobials,Sorbate preservatives,1,1
Crop Protection Chemicals,Fumigants,2,2
Crop Protection Chemicals,Generic fungicides,3,9
Crop Protection Chemicals,Generic insecticides,3,10
Crop Protection Chemicals,Herbicide intermediates,1,3
Crop Protection Chemicals,Herbicides,2,2
Crop Protection Chemicals,Neonicotinoid insecticides,1,1
Crop Protection Chemicals,Pyrethroid insecticides,1,1
Elastomers,Diene-based commodity,2,8
Elastomers,Diene-based specialty,1,4
Elastomers,Latex dispersions,2,4
Elastomers,Polyolefin-based,1,4
Elastomers,Rubber chemicals,1,1
Elastomers,Specialty rubbers,1,3
Elastomers,Vulcanization agents,1,1
Fermentation & Bioprocessing,Biopolymer fermentation,1,3
Fermentation & Bioprocessing,Feed amino acids,2,8
Fermentation & Bioprocessing,Fermentation organic acids,3,9
Fermentation & Bioprocessing,Starch & glucose derivatives,4,10
Fertilizers,Bulk fertilisers,5,29
Fertilizers,Potassic fertilizers,1,1
Fine Chemicals & Actives,Amino acids synthetic,1,5
Fine Chemicals & Actives,Carotenoid pigments,2,6
Fine Chemicals & Actives,Chelating agents,3,7
Fine Chemicals & Actives,Dermatological actives,2,7
Fine Chemicals & Actives,Feed vitamins,3,6
Fine Chemicals & Actives,Mining reagents,1,1
Fine Chemicals & Actives,UV absorbers,6,16
Fine Chemicals & Actives,Vitamins synthetic,6,16
Fluids & Lubricants,Lubricant additives,3,6
Fluids & Lubricants,Mineral base oils,3,9
Fluids & Lubricants,Synthetic base stocks,2,2
Fluids & Lubricants,Synthetic lubricants,2,5
Industrial Gases,Air separation gases,3,12
Industrial Gases,Refrigerant and fluorochemical gases,4,15
Industrial Gases,Synthesis gases,2,6
Industrial Minerals,Fillers and extenders,8,19
Industrial Minerals,Lithium minerals,1,1
Industrial Minerals,Rare earths & specialty oxides,1,4
Inorganic Chemicals,Alkalis,4,18
Inorganic Chemicals,Coagulants aluminium,4,23
Inorganic Chemicals,Coagulants iron,6,28
Inorganic Chemicals,Electronic & high-purity chemicals,2,4
Inorganic Chemicals,Hydrogen peroxide,3,11
Inorganic Chemicals,Inorganic acids,5,19
Inorganic Chemicals,Inorganic oxidants,7,12
Inorganic Chemicals,Inorganic salts,5,5
Inorganic Chemicals,Mining reagents,5,14
Inorganic Chemicals,Phosphates,1,1
Oleochemicals,Fatty acids & derivatives,8,24
Oleochemicals,Fatty alcohols,3,15
Oleochemicals,Glycerine,2,8
Oleochemicals,Lecithins & phospholipids,2,5
Oleochemicals,Oleochemical esters,7,21
Oleochemicals,Synthetic alcohols,3,6
Oleochemicals,Vegetable oil feedstocks,1,3
Petrochemicals & Derivatives,Antioxidants & stabilisers,1,3
