type_code,label,resolves_to,resolution,proxy_status,swap_priority,ideal_index,registry_note,n_formulas,n_lines,total_weight
2EH-EU,2-Ethylhexanol (oxo-alcohol route),brent,resolved,proxy,A,2 EH  EU regional price,Isononanol 2-EH upstream,9,12,395.0
AA-ASIA,Acrylic acid co-monomer,brent,resolved,proxy,A,AA  ASIA regional price,Methacrylic acid acrylic acid proxy,8,10,229.0
AA-CN,Acrylic acid monomer,brent,resolved,direct,A,AA  CN regional price,Methacrylic acid acrylic acid proxy,9,10,268.0
AA-EU,Acrylic acid co-monomer,brent,resolved,direct,A,AA  EU regional price,Methacrylic acid acrylic acid proxy,7,10,215.0
AA-NA,Acrylic acid monomer,brent,resolved,direct,A,AA  NA regional price,Methacrylic acid acrylic acid proxy,7,8,196.0
ACN-ASIA,Acrylonitrile acrylamide ACN proxy,brent,resolved,direct,A,ACN  ASIA regional price,Acrylonitrile acrylamide ACN proxy,11,17,810.0
ACN-CN,Acrylonitrile acrylamide ACN proxy,brent,resolved,direct,A,ACN  CN regional price,DADMAC monomer acrylonitrile proxy,15,16,632.0
ACN-EU,Acrylonitrile acrylamide ACN proxy,brent,resolved,direct,A,ACN  EU regional price,DADMAC monomer acrylonitrile proxy,17,24,977.0
ACN-NA,Acrylonitrile acrylamide ACN proxy,brent,resolved,direct,A,ACN  NA regional price,DADMAC monomer acrylonitrile proxy,16,17,656.0
AL-LME,Aluminium trihydrate LME proxy,aluminum,resolved,proxy,B,,Aluminium trihydrate LME proxy,5,27,868.0
AROM-US,Adipic acid / hexamethylenediamine (aromatics proxy),aromatics-ppi,no_series,unclassified,,,,6,6,246.0
BD-ASIA,Butadiene,brent,resolved,direct,A,BD  ASIA regional price,Butadiene via chloroprene,5,5,224.0
BD-CN,Butadiene,brent,resolved,direct,A,BD  CN regional price,Butadiene via chloroprene,6,6,265.0
BD-EU,Butadiene,brent,resolved,direct,,,,6,6,265.0
BD-NA,Butadiene,brent,resolved,direct,,,,5,5,223.0
BO1-NWE,Base oil Base oil Group I SN 150 direct index,brent,resolved,direct,,,,1,1,0.0
BO1-SG,Base oil Base oil Group I SN 150 direct index,brent,resolved,direct,,,,1,1,0.0
BO1-US,Base oil Base oil Group I SN 150 direct index,base-oil-na,resolved,direct,,,,1,1,0.0
BO2-NWE,Base oil Base oil Group II 150N direct index,brent,resolved,direct,,,,1,1,0.0
BO2-SG,Base oil Base oil Group II 150N direct index,brent,resolved,direct,,,,1,1,0.0
BO2-US,Base oil Base oil Group II 150N direct index,base-oil-na,resolved,direct,,,,1,1,0.0
BO3-NWE,Base oil Base oil Group III 4cSt direct index,brent,resolved,direct,,,,1,1,0.0
BO3-SG,Base oil Base oil Group III 4cSt direct index,brent,resolved,direct,,,,1,1,0.0
BO3-US,Base oil Base oil Group III 4cSt direct index,base-oil-na,resolved,direct,,,,1,1,0.0
BPA-APAC,Bisphenol A BPA,brent,resolved,proxy,A,BPA  APAC regional price,Bisphenol A BPA,3,4,179.0
BPA-CN,Bisphenol A BPA,brent,resolved,direct,,,,3,3,142.0
BPA-EU,Bisphenol A BPA,brent,resolved,direct,A,BPA  EU regional price,Bisphenol A BPA,3,6,284.0
BRENT-GLB,Crude oil ex-refinery upstream,brent,resolved,proxy,B,,Mineral oil inverse emulsion carrier,5,17,664.0
BZ-ASIA,Benzene via aniline/MDA,brent,resolved,proxy,A,BZ  ASIA regional price,Benzene via aniline/MDA,16,16,672.0
BZ-CN,Benzene via aniline/MDA,brent,resolved,proxy,A,BZ  CN regional price,Benzene dibenzoylmethane route,21,21,839.0
BZ-EU,Benzene via aniline/MDA,brent,resolved,proxy,A,BZ  EU regional price,Benzene via aniline/MDA,27,31,1295.0
BZ-NA,Benzene via aniline/MDA,benzene-na,resolved,proxy,B,,Phenol benzene chain,26,26,1023.0
CAPL-EU,Caprolactam,brent,resolved,proxy,A,CAPL  EU regional price,Caprolactam,1,4,272.0
CBFS-ASIA,Carbon black feedstock CBFS,brent,resolved,direct,,,,1,1,60.0
CBFS-CN,Carbon black feedstock CBFS,brent,resolved,direct,,,,1,1,60.0
CBFS-EU,Carbon black feedstock CBFS,brent,resolved,direct,,,,1,1,60.0
CBFS-NA,Carbon black feedstock CBFS,brent,resolved,direct,,,,1,1,60.0
CHLOR-US,Chlorine/caustic soda (electrolysis),chlor-naoh-ppi,no_series,unclassified,,,,7,7,177.0
CL2-CN,Chlorine,elec-cn,resolved,proxy,B,,Trichloroethylene TCE feedstock,21,21,502.0
CL2-EU,Chlorine,elec-eu,resolved,proxy,B,,Chlorine,21,29,732.0
CL2-IN,Chlorine,elec-in,resolved,proxy,B,,Chlorine trichloropyridine,7,7,218.0
