table,column,rows,filled,fill_pct,declared_gap,source
families.csv,family,132,131,99.2,1 formula carries no taxonomy,FORMULA_COMBOS[*].family (formula level — authoritative)
families.csv,subfamily,132,131,99.2,1 formula carries no taxonomy,FORMULA_COMBOS[*].subfamily
families.csv,n_formulas,132,132,100.0,,derived: count
families.csv,n_combos,132,132,100.0,,derived: count
formulas.csv,formula_id,357,357,100.0,,FORMULA_COMBOS key
formulas.csv,name,357,357,100.0,,.name
formulas.csv,full_name,357,17,4.8,only the 17 flat-shape records carry it,.full — only present on the 17 flat-shape records
formulas.csv,family,357,356,99.7,1 formula carries no taxonomy,.family
formulas.csv,subfamily,357,356,99.7,1 formula carries no taxonomy,.subfamily
formulas.csv,record_shape,357,357,100.0,,derived: combo | flat | partial
formulas.csv,n_combos,357,357,100.0,,derived
formulas.csv,regions,357,357,100.0,1 formula has a combo with no region,derived from combos
formulas.csv,forms,357,340,95.2,the 17 flat-shape records state no form,derived from combos (.form)
formulas.csv,margin_pct_min,357,340,95.2,the 17 flat-shape records state no margin,"derived from combos (.margin, normalised)"
formulas.csv,margin_pct_max,357,340,95.2,the 17 flat-shape records state no margin,"derived from combos (.margin, normalised)"
formulas.csv,cas_number,357,175,49.0,CAS_LOOKUP does not cover every formula,CAS_LOOKUP[formula_id]
formulas.csv,has_synthesis_route,357,357,100.0,,SYNTHESIS_ROUTES[formula_id] present
formulas.csv,functionality_tags,357,340,95.2,FUNCTIONALITY_TAGS does not cover every formula,FUNCTIONALITY_TAGS[formula_id]
combos.csv,combo_id,1079,1079,100.0,,".combos[].id (synthesised as ""<formula_id>"" for flat records)"
combos.csv,formula_id,1079,1079,100.0,,parent key
combos.csv,region,1079,1079,100.0,,".region (""GL"" assumed for flat records — see assumed_region)"
combos.csv,assumed_region,1079,1079,100.0,,derived: true when the source stated no region
combos.csv,form,1079,1062,98.4,the 17 flat-shape records state no form,.form
combos.csv,variant,1079,4,0.4,only 4 combos are a graded variant of another; the rest have none,".variant — a grade of the same product in the same region (e.g. bentonite activated vs natural). Only 4 combos have one, and for those it is the only thing that tells the two rows apart, so do not key on formula+region."
combos.csv,margin_pct,1079,1062,98.4,the 17 flat-shape records state no margin,.margin normalised to percent
combos.csv,margin_raw,1079,1062,98.4,the 17 flat-shape records state no margin,.margin as the source stored it
combos.csv,margin_encoding,1079,1079,100.0,always set,derived: fraction | percent | absent
combos.csv,volatile,1079,1062,98.4,the 17 flat-shape records state no volatility flag,.volatile
combos.csv,family,1079,1078,99.9,1 formula carries no taxonomy at either level,".family, falling back to the formula record"
combos.csv,subfamily,1079,1078,99.9,1 formula carries no taxonomy at either level,".subfamily, falling back to the formula record"
combos.csv,taxonomy_source,1079,1078,99.9,1 formula carries no taxonomy at either level,derived: combo | formula (which level supplied family/subfamily)
combos.csv,n_lines,1079,1079,100.0,,derived
combos.csv,weight_total,1079,1079,100.0,,derived: sum of line weights (should be 100)
combos.csv,w_direct,1079,1079,100.0,,derived: weight of flag d
combos.csv,w_proxy,1079,1079,100.0,,derived: weight of flag p
combos.csv,w_unclassified,1079,1079,100.0,,"derived: weight of flags feedstock/idx (indexed, direct-vs-proxy not stated)"
combos.csv,w_fixed,1079,1079,100.0,,derived: weight of flags f/fixed
combos.csv,indexed_pct,1079,1078,99.9,1 combo has no cost lines,derived: (w_direct+w_proxy+w_unclassified) / weight_total
combos.csv,priceable_pct,1079,1078,99.9,1 combo has no cost lines,derived: share of TOTAL weight whose index resolves to a feed WITH a price series
combos.csv,indexed_priceable_pct,1079,1078,99.9,1 combo has no cost lines,"derived: share of INDEXED weight that is priceable — 100% means this combo can be costed today; below that, some inputs have no series"
combos.csv,coverage_tier,1079,1078,99.9,1 combo has no cost lines,"derived: P1 all-direct | P2 some proxy | P3 proxy-heavy (>=50% of indexed weight), computed on indexed weight only"
combos.csv,loadable,1079,1079,100.0,,"derived: true when the combo has lines, a family, and 100% priceable indexed weight"
combos.csv,db_region,1079,0,0.0,"the ""Decide — regions"" sheet — blank until someone fills it in",decision: decisions/region_basis.csv — the region name the database uses
combos.csv,basis_currency,1079,0,0.0,"the ""Decide — regions"" sheet — blank until someone fills it in",decision: decisions/region_basis.csv
combos.csv,basis_incoterm,1079,0,0.0,"the ""Decide — regions"" sheet — blank until someone fills it in",decision: decisions/region_basis.csv — fills FormulaVersion.incoterm
combos.csv,basis_named_place,1079,0,0.0,"the ""Decide — regions"" sheet — blank until someone fills it in",decision: decisions/region_basis.csv — fills FormulaVersion.named_place
combo_lines.csv,combo_id,5747,5747,100.0,,parent
combo_lines.csv,formula_id,5747,5747,100.0,,parent
combo_lines.csv,region,5747,5747,100.0,,parent
combo_lines.csv,seq,5747,5747,100.0,,derived: position in .lines
combo_lines.csv,weight_pct,5747,5747,100.0,,line[0] as the source stores it (0-100)
combo_lines.csv,weight_frac,5747,5747,100.0,,"derived: weight_pct/100 (matches FormulaComponent.weight Numeric(6,4))"
combo_lines.csv,label,5747,5747,100.0,,line[1]
combo_lines.csv,type_code,5747,5747,100.0,,line[2]
combo_lines.csv,raw_flag,5747,5747,100.0,,line[3] verbatim
combo_lines.csv,kind,5747,5747,100.0,,derived from raw_flag: indexed | fixed
combo_lines.csv,proxy_status,5747,4430,77.1,blank on fixed-cost lines by definition,derived from raw_flag: direct | proxy | unclassified
combo_lines.csv,resolves_to,5747,4405,76.6,blank on fixed-cost lines; also blank where the feed has no price series,"FCOVERED[type_code], or the type_code itself when it is already a feed slug"
combo_lines.csv,resolution,5747,5747,100.0,,derived: see _issues.csv — resolved | ambiguous | no_series | no_feed | unmapped | fixed
combo_lines.csv,label_short,5747,5747,100.0,,derived: label truncated to 64 chars to fit FormulaComponent.label String(64). The full text stays in label.
combo_lines.csv,commodity_key,5747,4154,72.3,blank on fixed-cost lines and on lines whose feed has no price series,"derived: resolves_to, validated against index_commodities.csv. Blank on fixed lines — FormulaComponent.commodity_id is nullable."
type_codes.csv,type_code,191,191,100.0,,line[2] values
type_codes.csv,label,191,191,100.0,,most common line[1] seen with this code
type_codes.csv,resolves_to,191,188,98.4,blank where the code maps to nothing at all,FCOVERED[type_code]
type_codes.csv,resolution,191,191,100.0,,derived
type_codes.csv,proxy_status,191,191,100.0,blank where every line using the code is fixed,derived: majority proxy_status of its lines
type_codes.csv,swap_priority,191,109,57.1,the registry only ranks proxies; direct codes have none,PROXY_SWAP_REGISTRY.md section A/B/C
type_codes.csv,ideal_index,191,36,18.8,registry section A only,PROXY_SWAP_REGISTRY.md — what we would rather have
type_codes.csv,registry_note,191,109,57.1,proxies only,PROXY_SWAP_REGISTRY.md
type_codes.csv,n_formulas,191,191,100.0,,derived
type_codes.csv,n_lines,191,191,100.0,,derived
type_codes.csv,total_weight,191,191,100.0,,derived
index_commodities.csv,commodity_key,121,121,100.0,,the series key (INDEXES[slug].regKeys[region])
index_commodities.csv,display_name,121,91,75.2,stub rows have no card and therefore no name,INDEXES[slug].name for the first card reading this series
index_commodities.csv,source_region,121,91,75.2,stub rows have no card and therefore no region,"the region the card states — note ""multi"" means no single region"
index_commodities.csv,n_cards,121,121,100.0,,derived: how many index cards read this series
index_commodities.csv,card_slugs,121,121,100.0,,derived: which ones
index_commodities.csv,has_series,121,121,100.0,,derived: whether a price history exists
index_commodities.csv,n_actual_points,121,121,100.0,,derived from IDX
index_commodities.csv,n_forecast_points,121,121,100.0,,derived from FORE
index_commodities.csv,agency,121,96,79.3,INDEX_SOURCE_META covers 80 of the series,INDEX_SOURCE_META[key].agency
index_commodities.csv,label_unit,121,21,17.4,evidence only — 21 region labels spell out a unit,"unit parsed out of the region label — evidence, not the answer"
index_commodities.csv,label_incoterm,121,11,9.1,evidence only — 11 region labels name an Incoterm,"Incoterm parsed out of the region label — evidence, not the answer"
index_commodities.csv,label_named_place,121,11,9.1,evidence only — travels with label_incoterm,"named place parsed out of the region label — evidence, not the answer"
index_commodities.csv,unit,121,21,17.4,"the ""Decide — price series"" sheet (21 pre-filled from region labels)",decision: decisions/index_basis.csv (pre-filled from label_unit)
index_commodities.csv,currency,121,0,0.0,"the ""Decide — price series"" sheet — no source in either mockup",decision: decisions/index_basis.csv
index_commodities.csv,category,121,0,0.0,"the ""Decide — price series"" sheet — no short token in the source",decision: decisions/index_basis.csv — a short token; INDEXES.cat is a display subtitle and will not fit CommodityIndex.category String(32)
index_commodities.csv,source_url,121,0,0.0,"the ""Decide — price series"" sheet — no URL in either mockup",decision: decisions/index_basis.csv — no URL exists in either mockup
index_commodities.csv,quoted_incoterm,121,11,9.1,"the ""Decide — price series"" sheet (11 pre-filled)",decision: decisions/index_basis.csv (pre-filled from label_incoterm)
index_commodities.csv,quoted_named_place,121,11,9.1,"the ""Decide — price series"" sheet (11 pre-filled)",decision: decisions/index_basis.csv (pre-filled from label_named_place)
index_commodities.csv,value_kind,121,121,100.0,,"constant: index_level — base 100 = Jan 2023, NOT a currency price"
