combo_id,formula_id,region,assumed_region,form,variant,margin_pct,margin_raw,margin_encoding,volatile,family,subfamily,taxonomy_source,n_lines,weight_total,w_direct,w_proxy,w_unclassified,w_fixed,indexed_pct,priceable_pct,indexed_priceable_pct,coverage_tier,loadable,db_region,basis_currency,basis_incoterm,basis_named_place
OLE-FAC-SAT·EU,OLE-FAC-SAT,EU,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,21.0,70.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAC-SAT·CN,OLE-FAC-SAT,CN,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,21.0,70.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAC-SAT·NA,OLE-FAC-SAT,NA,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,21.0,70.0,0.0,9.0,91.0,91.0,100.0,P3,True,,,,
OLE-FAC-SAT·APAC,OLE-FAC-SAT,APAC,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,91.0,0.0,0.0,9.0,91.0,91.0,100.0,P1,True,,,,
OLE-FAC-SAT·IN,OLE-FAC-SAT,IN,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,91.0,0.0,0.0,9.0,91.0,91.0,100.0,P1,True,,,,
OLE-FAC-SAT·MEA,OLE-FAC-SAT,MEA,False,Liquid/flake,,9.0,9,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,83.0,8.0,0.0,9.0,91.0,91.0,100.0,P2,True,,,,
FA-US·EU,FA-US,EU,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,21.0,68.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
FA-US·CN,FA-US,CN,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,21.0,68.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
FA-US·APAC,FA-US,APAC,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,89.0,0.0,0.0,11.0,89.0,89.0,100.0,P1,True,,,,
FA-US·IN,FA-US,IN,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty acids & derivatives,combo,4,100.0,89.0,0.0,0.0,11.0,89.0,89.0,100.0,P1,True,,,,
OLE-FAL-CPO·EU,OLE-FAL-CPO,EU,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,22.0,67.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
OLE-FAL-CPO·CN,OLE-FAL-CPO,CN,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,22.0,67.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
OLE-FAL-CPO·NA,OLE-FAL-CPO,NA,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,22.0,67.0,0.0,11.0,89.0,89.0,100.0,P3,True,,,,
OLE-FAL-CPO·APAC,OLE-FAL-CPO,APAC,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,81.0,8.0,0.0,11.0,89.0,89.0,100.0,P2,True,,,,
OLE-FAL-CPO·IN,OLE-FAL-CPO,IN,False,Liquid,,11.0,11,percent,False,Oleochemicals,Fatty alcohols,combo,5,100.0,81.0,8.0,0.0,11.0,89.0,89.0,100.0,P2,True,,,,
