formula_id,name,full_name,family,subfamily,record_shape,n_combos,regions,forms,margin_pct_min,margin_pct_max,cas_number,has_synthesis_route,functionality_tags
OLE-FAC-SAT,Fatty acids saturated C16/C18,,Oleochemicals,Fatty acids & derivatives,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid/flake,9.0,9.0,,True,Base chemical / feedstock
FA-US,Fatty acids unsaturated oleic C18:1,,Oleochemicals,Fatty acids & derivatives,combo,4,"APAC,CN,EU,IN",Liquid,11.0,11.0,112-80-1,True,Base chemical / feedstock
OLE-FAL-CPO,Fatty alcohol C16–C18 long cut,,Oleochemicals,Fatty alcohols,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,11.0,11.0,,True,Base chemical / feedstock
OLE-FAL-PKO,Fatty alcohol C12–C14 mid cut,,Oleochemicals,Fatty alcohols,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,9.0,9.0,112-53-8,True,Base chemical / feedstock
OLE-FAL-C20,Fatty alcohol C20–C22 behenyl very long cut,,Oleochemicals,Fatty alcohols,combo,3,"APAC,CN,EU",Flake,15.0,15.0,661-19-8,True,Base chemical / feedstock
OLE-GLY-CRD,Glycerine crude 80%,,Oleochemicals,Glycerine,combo,5,"APAC,CN,EU,IN,NA",Liquid,4.0,4.0,56-81-5,True,Emulsification
OLE-GLY-REF,Glycerine refined 99.5% USP,,Oleochemicals,Glycerine,combo,3,"CN,EU,IN",Liquid,8.0,8.0,56-81-5,True,Emulsification
FOD-LEC-LIQ,Lecithin liquid soy,,Oleochemicals,Lecithins & phospholipids,combo,3,"APAC,EU,NA",Liquid,16.0,16.0,,True,Emulsification
FOD-LEC-PWD,Lecithin de-oiled powder,,Oleochemicals,Lecithins & phospholipids,combo,2,"EU,NA",Powder,17.0,17.0,,True,Emulsification
OLE-ME-FAME,Methyl esters FAME,,Oleochemicals,Oleochemical esters,combo,3,"APAC,EU,LA",Liquid,6.0,6.0,,True,Emulsification
FOD-RBD-LIQ,RBD palm oil liquid,,Oleochemicals,Vegetable oil feedstocks,combo,3,"APAC,IN,MEA",Liquid,6.0,6.0,,True,Base chemical / feedstock
SUR-CAPB-LIQ,CAPB 30-35% cocamidopropyl betaine,,Surfactants,Amphoteric surfactants,combo,4,"APAC,CN,EU,NA",Liquid,14.0,14.0,,True,"Surfactancy / primary cleaning,Conditioning & softening"
SUR-LABS-ACD,LABS acid paste LABSA 96%,,Surfactants,Anionic LABS chain,combo,7,"APAC,CN,EU,IN,LA,MEA,NA",Liquid,5.0,5.0,,True,Surfactancy / primary cleaning
SUR-LABS-PWD,LABS dry powder 90%,,Surfactants,Anionic LABS chain,combo,4,"APAC,CN,EU,NA",Powder,8.0,8.0,,True,Surfactancy / primary cleaning
SUR-LABS-S30,LABS 30% solution,,Surfactants,Anionic LABS chain,combo,7,"APAC,CN,EU,IN,LA,MEA,NA",Liquid,7.0,7.0,,True,Surfactancy / primary cleaning
SUR-LABS-S60,LABS 60% slurry,,Surfactants,Anionic LABS chain,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,8.0,8.0,,True,Surfactancy / primary cleaning
SUR-AES-2EO,SLES 2EO paste 70%,,Surfactants,Anionic SLS/SLES chain,combo,6,"APAC,CN,EU,IN,MEA,NA",Liquid,8.0,8.0,68891-38-3,True,Surfactancy / primary cleaning
